ALUMNO;Anyo1;Conv1;TipoBach1;NotaBach1;Notaacceso1;MatCCSS1;MatII1;Anyo2;Conv2;TipoBach2;NotaBach2;Notaacceso2;MatCCSS2;MatII2;Anyo3;Conv3;TipoBach3;NotaBach3;Notaacceso3;MatCCSS3;MatII3;Anyo4;Conv4;TipoBach4;NotaBach4;Notaacceso4;MatCCSS4;MatII4;Anyo5;Conv5;TipoBach5;NotaBach5;Notaacceso5;MatCCSS5;MatII5;Anyo6;Conv6;TipoBach6;NotaBach6;Notaacceso6;MatCCSS6;MatII6
83;2009-10;JUN;GRHC;5,76;5,756;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
84;2009-10;JUN;GRHC;5,71;5,376;1,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
85;2009-10;JUN;GRCT;7,25;6,85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
86;2009-10;JUN;GRCT;7,35;6,485;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87;2009-10;JUN;GRHC;8,65;7,69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88;2009-10;JUN;GRHC;6,65;6,715;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
89;2009-10;JUN;GRHC;6;5,425;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
90;2009-10;SEP;GRCT;5,41;;;2;2010-11;JUN;GRCT;5,41;5,721;;7,5;;;;;;;;2011-12;JUN;GRCT;5,41;;6,25;;;;;;;;;;;;;;;
91;2009-10;SEP;GRCT;5,31;4,836;;;2010-11;JUN;GRCT;5,31;5,111;;;;;;;;;;;;;;;;;;;;;;;;2012-13;JUN;K02;;;;
92;2009-10;SEP;GRHC;5,71;5,451;1,5;;2010-11;JUN;GRHC;5,71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93;2009-10;SEP;GRHC;5,88;5,153;;;2010-11;JUN;GRHC;5,88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
94;2009-10;SEP;GRAP;5,65;;;;2010-11;JUN;GRAP;5,65;5,415;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
95;2009-10;SEP;GRCT;6,13;5,428;;7,25;2010-11;JUN;U01;;;;2,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
96;2009-10;SEP;GRHC;5,41;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2012-13;JUN;A01;;;;
97;2009-10;SEP;GRHC;5,75;5,55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98;2009-10;SEP;GRHC;6;5,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99;2009-10;SEP;GRHC;6,06;5,561;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100;2009-10;SEP;GRHC;6,24;5,744;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
101;2009-10;SEP;GRHC;5,94;5,864;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
102;2009-10;SEP;GRAP;5,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
103;2009-10;SEP;GRHC;5,88;6,203;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
104;2010-11;JUN;GRCT;8,65;8,39;;5,5;2010-11;SEP;GRCT;8,65;;;;2011-12;JUN;GRCT;8,65;;;;;;;;;;;;;;;;;;;;;;;;
105;2010-11;JUN;GRCT;5,71;5,326;;1;2010-11;SEP;GRCT;5,71;;;3;2011-12;JUN;GRCT;5,71;;;5,25;;;;;;;;;;;;;;;;;;;;;
106;2010-11;JUN;GRHC;6;5,675;;;2010-11;SEP;GRHC;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
107;2010-11;JUN;GRHC;5,94;5,539;1,5;;2010-11;SEP;GRHC;5,94;5,764;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
108;2010-11;JUN;GRHC;5,41;4,946;0;;2010-11;SEP;GRHC;5,41;5,496;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
109;2010-11;JUN;A01;;;;;2010-11;SEP;A01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
110;2010-11;JUN;GRCT;5,76;;;;2010-11;SEP;GRCT;5,75;5,175;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
111;2010-11;JUN;GRCT;6,24;5,794;;8;2010-11;SEP;GRCT;6,24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
112;2010-11;JUN;GRCT;6,24;;;4,75;2010-11;SEP;GRCT;6,24;;2,5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
113;2010-11;JUN;GRHC;7,06;6,536;6,75;;2010-11;SEP;GRHC;7,06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
114;2010-11;JUN;GRHC;6,2;5,695;;;2011-12;JUN;GRHC;6,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
115;2010-11;JUN;A01;;;;;2011-12;JUN;A01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
116;2010-11;JUN;GRHC;7,59;6,504;4,25;;2011-12;JUN;GRHC;7,59;;3,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;2010-11;JUN;GRHC;6,24;6,019;6,5;;2011-12;JUN;GRHC;6,24;;6,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
118;2010-11;JUN;GRCT;6,06;5,636;;;;;;;;;;;;;;;;;;;;;;;;2012-13;JUN;GRCT;6,06;;;;;;;;;;
119;2010-11;JUN;GRCT;7,41;7,571;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
120;2010-11;JUN;GRHC;5,94;5,714;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
121;2010-11;JUN;GRHC;6;5,525;7,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
122;2010-11;JUN;GRHC;7,47;7,332;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
123;2010-11;JUN;GRAP;5,65;5,29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
124;2010-11;JUN;GRHC;6,53;5,768;7,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
125;2010-11;JUN;A01;6,91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
126;2010-11;JUN;GRCT;7,71;6,726;;2,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
127;2010-11;JUN;U04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
128;2010-11;JUN;GRCT;6,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
129;2010-11;JUN;GRHC;7,82;7,342;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
130;2010-11;JUN;GRHC;7,59;7,704;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
131;2010-11;JUN;GRHC;6,12;5,297;6,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
132;2010-11;JUN;GRCT;6,44;5,939;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
133;2010-11;JUN;GRHC;5,9;5,415;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
134;2010-11;JUN;GRHC;5,94;5,789;3,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
135;2010-11;JUN;GRCT;6,82;6,592;;7,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
136;2010-11;JUN;GRHC;8,59;7,979;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
137;2010-11;JUN;GRHC;5,82;6,142;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
138;2010-11;JUN;GRHC;6,71;5,926;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
139;2010-11;JUN;F02;6,38;;;5,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
140;2010-11;JUN;GRHC;6,29;5,624;5,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
141;2010-11;JUN;GRHC;6,94;6,939;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
142;2010-11;JUN;A01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
143;2010-11;JUN;GRHC;5,88;5,703;3,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
144;2010-11;JUN;GRCT;6,24;5,944;;4,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
145;2010-11;JUN;GRCT;7,35;7,06;;8,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
146;2010-11;JUN;GRCT;6,88;6,728;;6,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
147;2010-11;JUN;GRCT;6,41;5,946;;1,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
148;2010-11;JUN;GRHC;7,65;7,715;5,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
149;2010-11;JUN;GRHC;7,47;7,332;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
150;2010-11;JUN;GRHC;7,94;7,189;5,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
151;2010-11;JUN;GRHC;6,53;5,668;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
152;2010-11;JUN;U01;;;5,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
153;2010-11;JUN;GRCT;7,41;6,696;;2,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
154;2010-11;JUN;GRHC;6,17;5,977;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
155;2010-11;JUN;GRCT;5,8;5,48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
156;2010-11;JUN;GRCT;5,71;5,376;;6,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
157;2010-11;JUN;GRHC;5,65;5,19;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
158;2010-11;JUN;GRHC;6,29;5,824;3,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
159;2010-11;JUN;GRCT;6,82;6,292;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
160;2010-11;JUN;GRHC;7,06;6,611;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
161;2010-11;JUN;GRHC;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
162;2010-11;JUN;GRHC;6,53;6,393;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
163;2010-11;JUN;GRCT;7,24;6,894;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
164;2010-11;JUN;GRCT;6,6;6,46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
165;2010-11;JUN;GRHC;7,06;6,411;4,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
166;2010-11;JUN;GRCT;6,82;6,675;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
167;2010-11;JUN;GRCT;6,65;5,965;;5,38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
168;2010-11;JUN;GRHC;6,12;6,022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
169;2010-11;JUN;GRHC;8,76;7,381;4,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
170;2010-11;JUN;GRHC;6,94;6,289;8,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
171;2010-11;JUN;GRCT;5,71;6,301;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
172;2010-11;JUN;GRHC;5,94;6,164;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
173;2010-11;JUN;U01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
174;2010-11;JUN;GRAE;6,52;5,737;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
175;2010-11;JUN;GRHC;6,41;5,946;1,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
176;2010-11;JUN;GRCT;6,94;6,739;;2,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
177;2010-11;JUN;GRHC;8,47;8,407;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
178;2010-11;JUN;GRCT;5,71;5,601;;3,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
179;2010-11;JUN;GRCT;6,41;5,921;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
180;2010-11;JUN;GRHC;7,47;6,532;4,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
181;2010-11;JUN;GRCT;6,29;5,499;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
182;2010-11;JUN;GRHC;5,82;5,642;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
183;2010-11;JUN;GRHC;7,71;7,576;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
184;2010-11;JUN;GRHC;7,18;6,733;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
185;2010-11;JUN;GRCT;6,71;6,401;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
186;2010-11;JUN;GRHC;5,71;5,801;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
187;2010-11;JUN;GRHC;6,06;5,486;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
188;2010-11;JUN;GRHC;6,41;;1,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
189;2010-11;JUN;GRHC;6;;1,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
190;2010-11;SEP;GRHC;5,94;5,264;;;2011-12;JUN;GRHC;5,94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
191;2010-11;SEP;GRHC;6;;2,5;;2011-12;JUN;GRHC;6;5,55;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
192;2010-11;SEP;GRCT;5,88;5,503;;;2011-12;JUN;GRCT;5,88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
193;2010-11;SEP;GRHC;5,82;5,342;;;2011-12;JUN;GRHC;5,82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
194;2010-11;SEP;GRCT;8,08;7,548;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
195;2010-11;SEP;GRHC;6,35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
196;2010-11;SEP;GRHC;6,47;5,807;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
197;2010-11;SEP;GRCT;6,47;6,007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
198;2010-11;SEP;GRCT;6,82;5,792;;4,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
199;2010-11;SEP;GRHC;5,53;5,268;4,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200;2010-11;SEP;GRCT;5,65;5,04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201;2010-11;SEP;GRHC;5,88;;1,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202;2010-11;SEP;GRAE;6,21;6,251;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
203;2010-11;SEP;GRHC;5,65;5,04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
204;2011-12;JUN;GRHC;6,24;;2,25;;2011-12;SEP;GRHC;6,24;5,569;4;;2012-13;JUN;GRHC;6,24;;;;;;;;;;;;;;;;;;;;;;;;
205;2011-12;JUN;GRHC;7,18;;;;2011-12;SEP;GRHC;7,18;6,308;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
206;2011-12;JUN;GRCT;7,06;;;;2011-12;SEP;GRCT;7,06;6,461;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
207;2011-12;JUN;GRCT;7,12;6,547;;1,5;;;;;;;;2012-13;JUN;GRCT;7,12;;;5,25;;;;;;;;;;;;;;;;;;;;;
208;2011-12;JUN;S01;;;;;;;;;;;;2012-13;JUN;S01;;;;;;;;;;;;;;;;;;;;;;;;;
