"","StudentId","Date","TipoBach","GradeBach","GradeAccess","GradeSocMath","GradeMath"
"192",157,1106,"GRHC",5.65,5.19,4,NA
"193",158,1106,"GRHC",6.29,5.824,3.75,NA
"194",159,1106,"GRCT",6.82,6.292,NA,4
"195",160,1106,"GRHC",7.06,6.611,9,NA
"196",161,1106,"GRHC",7,NA,NA,NA
"197",162,1106,"GRHC",6.53,6.393,NA,NA
"198",163,1106,"GRCT",7.24,6.894,NA,NA
"199",164,1106,"GRCT",6.6,6.46,NA,NA
"200",165,1106,"GRHC",7.06,6.411,4.5,NA
"201",166,1106,"GRCT",6.82,6.675,NA,NA
"202",167,1106,"GRCT",6.65,5.965,NA,5.38
"203",168,1106,"GRHC",6.12,6.022,NA,NA
"204",169,1106,"GRHC",8.76,7.381,4.25,NA
"205",170,1106,"GRHC",6.94,6.289,8.75,NA
"206",171,1106,"GRCT",5.71,6.301,NA,NA
"207",172,1106,"GRHC",5.94,6.164,6,NA
"208",173,1106,"U01",NA,NA,NA,NA
"209",174,1106,"GRAE",6.52,5.737,NA,NA
"210",175,1106,"GRHC",6.41,5.946,1.75,NA
"211",176,1106,"GRCT",6.94,6.739,NA,2.25
"212",177,1106,"GRHC",8.47,8.407,NA,NA
"213",178,1106,"GRCT",5.71,5.601,NA,3.25
"214",179,1106,"GRCT",6.41,5.921,NA,NA
"215",180,1106,"GRHC",7.47,6.532,4.5,NA
"216",181,1106,"GRCT",6.29,5.499,NA,NA
"217",182,1106,"GRHC",5.82,5.642,7,NA
"218",183,1106,"GRHC",7.71,7.576,8,NA
"219",184,1106,"GRHC",7.18,6.733,NA,NA
"220",185,1106,"GRCT",6.71,6.401,NA,NA
"221",186,1106,"GRHC",5.71,5.801,NA,NA
"222",187,1106,"GRHC",6.06,5.486,NA,NA
"223",188,1106,"GRHC",6.41,NA,1.75,NA
"224",189,1106,"GRHC",6,NA,1.5,NA
"225",190,1206,"GRHC",5.94,NA,NA,NA
"226",190,1109,"GRHC",5.94,5.264,NA,NA
"227",191,1206,"GRHC",6,5.55,2,NA
"228",191,1109,"GRHC",6,NA,2.5,NA
"229",192,1206,"GRCT",5.88,NA,NA,NA
"230",192,1109,"GRCT",5.88,5.503,NA,NA
"231",193,1206,"GRHC",5.82,NA,NA,NA
"232",193,1109,"GRHC",5.82,5.342,NA,NA
"233",194,1109,"GRCT",8.08,7.548,NA,NA
"234",195,1109,"GRHC",6.35,NA,NA,NA
"235",196,1109,"GRHC",6.47,5.807,NA,NA
"236",197,1109,"GRCT",6.47,6.007,NA,NA
"237",198,1109,"GRCT",6.82,5.792,NA,4.75
"238",199,1109,"GRHC",5.53,5.268,4.5,NA
"239",200,1109,"GRCT",5.65,5.04,NA,NA
"240",201,1109,"GRHC",5.88,NA,1.25,NA
"241",202,1109,"GRAE",6.21,6.251,NA,NA
"242",203,1109,"GRHC",5.65,5.04,NA,NA
"243",204,1306,"GRHC",6.24,NA,NA,NA
"244",204,1209,"GRHC",6.24,5.569,4,NA
"245",204,1206,"GRHC",6.24,NA,2.25,NA
"246",205,1209,"GRHC",7.18,6.308,NA,NA
"247",205,1206,"GRHC",7.18,NA,NA,NA
"248",206,1209,"GRCT",7.06,6.461,NA,NA
"249",206,1206,"GRCT",7.06,NA,NA,NA
"250",207,1306,"GRCT",7.12,NA,NA,5.25
"251",207,1206,"GRCT",7.12,6.547,NA,1.5
"252",208,1306,"S01",NA,NA,NA,NA
"253",208,1206,"S01",NA,NA,NA,NA
"254",209,1206,"GRHC",6.47,5.782,6.5,NA
"255",210,1206,"GRHC",6.12,5.397,7,NA
"256",211,1206,"GRHC",6.47,5.857,NA,NA
"257",212,1206,"GRCT",6.82,6.517,NA,5.75
"258",213,1206,"GRHC",5.59,5.017,1,NA
"259",214,1206,"GRHC",6.59,6.229,NA,NA
"260",215,1206,"GRCT",5.65,5.615,NA,6.25
"261",216,1206,"GRHC",6.53,5.818,5.5,NA
"262",217,1206,"GRHC",5.47,5.432,NA,NA
"263",218,1206,"GRHC",7.59,6.579,1.75,NA
"264",219,1206,"GRHC",5.88,5.303,4.75,NA
"265",220,1206,"GRHC",6.82,5.767,NA,NA
"266",221,1206,"GRCT",6,6.05,NA,4.25
"267",222,1206,"GRCT",6.06,5.636,NA,NA
"268",223,1206,"GRCT",9.24,8.619,NA,6.5
"269",224,1206,"GRHC",6.29,5.649,NA,NA
"270",225,1206,"GRHC",7.53,6.968,NA,NA
"271",226,1206,"GRHC",6.47,5.832,1,NA
"272",227,1206,"GRCT",6.12,5.922,NA,NA
"273",228,1206,"A01",NA,NA,7,NA
